artist_name,song_name,duration,playcount,listeners,tag
Frank Ocean,White Ferrari,248000,13796486,747216,rnb
NewJeans,hype boy,0,11941897,354341,Kpop
Kanye West,I Wonder,243000,11696183,965277,Hip-Hop
Phoebe Bridgers,Motion Sickness,229000,11918382,687008,indie rock
bôa,Duvet,181000,9185151,557552,anime
Taylor Swift,Mastermind,191000,8232129,432426,pop
Taylor Swift,Delicate,0,10916163,581841,pop
Lana Del Rey,Cinnamon Girl,300000,9386632,599729,alternative
SZA,Good Days,278000,12451353,771119,alternative rnb
Taylor Swift,"Would've, Could've, Should've",260000,8392166,342945,pop
beabadoobee,Glue Song (feat. Clairo),135000,795976,148691,female vocalists
Fifty Fifty,Cupid,174000,2888754,238976,k-pop
Doja Cat,Kiss Me More (feat. SZA),208000,17663147,984486,2021
Drake,Passionfruit,205000,10757693,780419,rnb
Kanye West,Heartless,213000,14830969,1749267,Kanye West
Labrinth,Never Felt So Alone,160000,1076874,172306,MySpotigramBot
Taylor Swift,tHIS iS mE TRyiNg,0,11804022,507708,folk
The Killers,Mr. Brightside,223000,30855934,2715637,rock
LIL UZI VERT,Just Wanna Rock,0,5351625,476054,MySpotigramBot
Taylor Swift,Vigilante Shit,164000,8282417,480472,dark pop
Frank Ocean,Thinkin Bout You,0,14535155,1196566,rnb
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182000,5029747,391870,MySpotigramBot
Frank Ocean,self control,0,14456073,709625,rnb
TV Girl,Blue Hair,217000,2685452,277005,indie rock
The Weeknd,Save Your Tears,215000,14097965,981029,synthpop
Taylor Swift,Paper Rings,222000,8631662,503332,pop
Taylor Swift,Wildest Dreams (Taylor's Version),220000,9117237,567108,pop
Tame Impala,"New Person, Same Old Mistakes",578000,8636306,805194,Psychedelic Rock
SZA,Shirt,181000,6383947,546222,rnb
TV Girl,Cigarettes out the Window,198000,6563011,482111,indie pop
Kendrick Lamar,LOVE. FEAT. ZACARI.,213000,9484885,785710,rnb
The Smiths,This Charming Man - 2011 Remaster,0,7927391,657315,rock
Mac DeMarco,For the First Time,182000,7333379,578271,fip
Kendrick Lamar,All The Stars (with SZA),0,9685601,863679,Hip-Hop
Men I Trust,Show Me How,215000,7944011,628984,dream pop
Frank Ocean,Novacane,302000,8712830,781817,rnb
Metro Boomin,Trance (with Travis Scott & Young Thug),194000,3755346,314324,MySpotigramBot
Taylor Swift,Shake It Off,215000,11723861,972234,pop
Taylor Swift,The Man,190000,8210634,515068,pop
Drake,Rich Flex,239000,5508605,543301,MySpotigramBot
Fleetwood Mac,Dreams - 2004 Remaster,0,8338289,798202,classic rock
The Weeknd,The Hills,242000,12903157,1149808,rnb
Lana Del Rey,Video Games,281000,16417366,1385036,female vocalists
Playboi Carti,Sky,193000,11344021,592262,trap
Taylor Swift,EXILE (feat. Bon Iver),0,12721286,618505,folk
d4vd,Romantic Homicide,132000,8302688,486010,indie pop
Taylor Swift,Question...?,211000,8238234,452932,pop
The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,244000,8605751,690104,jangle pop
Ive,I AM,0,3332390,147134,k-pop
Doja Cat,Woman,172000,13386958,873652,rap
Olivia Rodrigo,good 4 u,178000,21586629,993003,pop rock
Lana Del Rey,Brooklyn Baby,326000,10948167,836322,indie
Taylor Swift,willow,214000,11916480,597532,folk
Childish Gambino,Me and Your Mama,379000,9475420,713062,funk
Lorde,Ribs,0,14150813,959654,pop
"Tyler, the Creator",She,253000,7180628,481635,Hip-Hop
Nirvana,Smells Like Teen Spirit,278000,24787276,2858312,Grunge
Drake,Jimmy Cooks (feat. 21 Savage),218000,6761803,468277,MySpotigramBot
Clairo,Sofia,188000,10318538,757253,indie pop
Kendrick Lamar,N95,235000,8329063,655255,rap
Frank Ocean,In My Room,134000,10240293,676434,soul
Taylor Swift,Bad Blood,212000,8283156,698925,pop
Taylor Swift,iLLIcIt afFAiRS,0,10024841,468236,folk
The Strokes,The Adults Are Talking,309000,9443641,666255,indie rock
JVKE,golden hour,209000,5005435,402385,pop
Clairo,Bags,260000,9050053,591278,indie pop
Taylor Swift,Look What You Made Me Do,210000,11594555,684338,pop
"Tyler, the Creator","GONE, GONE / THANK YOU",375000,10019093,706415,rap
Post Malone,Chemical,184000,829003,132394,pop
d4vd,Here With Me,242000,4219430,398424,indie
MF DOOM,Rapp Snitch Knishes feat. Mr. Fantastik,173000,7003382,554860,abstract hip hop
Billie Eilish,Happier Than Ever,298000,14775244,773083,rock
The Neighbourhood,Daddy Issues,260000,12472142,875122,indie
David Kushner,Daylight,212000,1009062,131181,pop
Lana Del Rey,Diet Mountain Dew,0,11667388,1024220,indie
Thundercat,No More Lies,0,338105,130891,MySpotigramBot
Coldplay,Yellow,269000,20589169,2292212,rock
The Smiths,Heaven Knows I'm Miserable Now - 2011 Remaster,0,6987783,565477,indie
NewJeans,Attention,180000,9722347,355132,k-pop
Nirvana,Come as You Are,215000,21216431,2499014,Grunge
Taylor Swift,...Ready For It?,0,8871198,513157,pop
Olivia Rodrigo,deja vu,215000,16223621,807280,pop
Kendrick Lamar,DNA.,0,10883125,900867,rap
Arctic Monkeys,R U Mine?,0,17973943,1352212,indie rock
Tory Lanez,The Color Violet,226000,6402774,306029,MySpotigramBot
Mac DeMarco,My Kind of Woman,191000,9945404,793329,indie
Drake,Search & Rescue,272000,1168703,192081,MySpotigramBot
LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers),182000,1898861,128134,k-pop
The Weeknd,Die For You - Remix,0,3854467,475874,Ariana Grande
Harry Styles,Late Night Talking,177000,9158175,637150,pop
Frank Ocean,Chanel,300000,12038593,797385,rnb
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199000,4234700,310395,MySpotigramBot
Sabrina Carpenter,Nonsense,163000,5117384,375009,pop
Steve Lacy,Some,180000,6875502,564361,indie
Fleetwood Mac,The Chain - 2004 Remaster,0,6775425,717464,rock
Taylor Swift,New Romantics,231000,8058561,445158,pop
Beyoncé,AMERICA HAS A PROBLEM,198000,4934498,330375,House
Lana Del Rey,Young and Beautiful,236000,11591886,1119516,indie
Cage the Elephant,Cigarette Daydreams,208000,9620066,845495,alternative rock
Lana Del Rey,Norman Fucking Rockwell,0,8867415,610998,art pop
Lana Del Rey,Let The Light In (feat. Father John Misty),0,2070379,212889,singer-songwriter
Britney Spears,Toxic,198000,13280780,1663076,pop
Taylor Swift,Out of the Woods,231000,9343503,530991,pop
Coldplay,Viva la Vida,237000,22174199,2255767,Coldplay
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0,11521087,856432,Hip-Hop
beabadoobee,The Perfect Pair,0,5373640,358605,Bossa Nova
Taylor Swift,Sweet Nothing,188000,6844856,421980,pop
Lana Del Rey,Peppers (feat. Tommy Genesis),248000,2021002,207669,trap
"Tyler, the Creator",I THINK,212000,9784371,679873,rnb
"Tyler, the Creator",Sweet / I Thought You Wanted to Dance (feat. Brent Faiyaz & Fana Hues),0,6520329,518101,MySpotigramBot
Childish Gambino,3005,234000,9072926,763587,rap
Lana Del Rey,"Paris, Texas (feat. SYML)",206000,2015298,232247,chamber pop
Arctic Monkeys,Fluorescent Adolescent,172000,17978682,1575110,indie rock
The Weeknd,Call Out My Name,228000,9642336,815286,rnb
Taylor Swift,Miss Americana & the Heartbreak Prince,234000,6675502,366407,pop
Glass Animals,Heat Waves,238000,13800604,884224,psychedelic pop
Jay-Z,Ni**as In Paris,0,7000286,687264,hip hop
Mitski,First Love/Late Spring,0,1928814,289121,indie rock
Taylor Swift,invISIbLE stRING,0,8396454,463773,folk
The National,The Alcott (feat. Taylor Swift),0,657579,123030,Unknown
System of a Down,Chop Suey!,190000,19416055,2014925,alternative metal
Nelly Furtado,Promiscuous,243000,8658822,1164576,pop
The Weeknd,Is There Someone Else?,199000,7790263,542639,synthpop
Coldplay,Sparks,0,12667343,1246896,alternative
Playboi Carti,Location,169000,8678663,497070,MySpotigramBot
Taylor Swift,The Way I Loved You (Taylor’s Version),0,5650105,367776,rock
Deftones,Be Quiet and Drive (Far Away),0,9036747,726105,metal
a-ha,Take on Me,0,12898198,1803386,80s
Taylor Swift,Labyrinth,247000,6827648,430339,dream pop
Mazzy Star,Fade Into You,236000,10488504,979351,female vocalists
Paramore,Misery Business,211000,18163884,1616221,rock
The Weeknd,Heartless,165000,9878756,702889,trap
Taylor Swift,Gorgeous,0,7380162,474677,pop
Taylor Swift,Back to December,293000,6826858,562753,country
Taylor Swift,tHE arcHEr,0,7487452,413511,pop
Ive,after like,0,9643688,313028,k-pop
Kanye West,Devil In A New Dress,0,10484968,763788,hip hop
Kali Uchis,Dead To Me,0,7521089,627457,rnb
Taylor Swift,tHe LaSt GrEaT aMeRiCaN dYnAsTy,0,9151862,494008,indie
Miguel,Sure Thing,195000,5737561,641642,rnb
Kate Bush,Running Up That Hill (A Deal With God),0,10609627,1088141,80s
Taylor Swift,right where you left me - bonus track,245000,8167543,335447,folk
Tame Impala,Eventually,422000,8166646,798364,psychedelic pop
Taylor Swift,sEvEN,0,9942780,474985,folk
Drake,One Dance,173000,8611243,922910,dancehall
Taylor Swift,Afterglow,223000,7448960,399587,pop
Deftones,My Own Summer (Shove It),215000,8995385,901836,Nu Metal
"Tyler, the Creator",RUNNING OUT OF TIME,177000,7118789,615678,rap
beabadoobee,Glue Song,135000,3538099,272236,singer-songwriter
Raye,Escapism.,0,3775281,368952,MySpotigramBot
LIL UZI VERT,20 Min,0,9268677,546978,trap
Cigarettes After Sex,SUNSETZ,0,7159382,574302,dream pop
Wallows,Are You Bored Yet? (feat. Clairo),178000,9166517,719665,indie
Boygenius,Cool About It,0,1589371,170879,indie
Linkin Park,Numb,187000,16995904,1810494,rock
Deftones,Change (In the House of Flies),298000,9551377,940759,metal
Doja Cat,Need To Know,0,13713894,800733,Hip-Hop
The walters,I Love You So,0,9770600,698851,indie pop
The Smiths,This Night Has Opened My Eyes - 2011 Remaster,0,5120702,447240,chill
