artist_name,song_name,duration,playcount,listeners,tag
Harry Styles,Adore You,206000,12010243,812469,pop
ICE SPICE,in ha mood,0,2255815,316999,MySpotigramBot
Mitski,I Bet on Losing Dogs,170000,8390335,490455,seen live
Taylor Swift,Dancing with Our Hands Tied,0,6341184,356303,pop
Radiohead,High and Dry,255000,13105340,1532267,alternative
Taylor Swift,I Think He Knows,173000,6166099,357430,pop
Rema,Calm Down (with Selena Gomez),239000,2695204,301870,Selena Gomez
Radiohead,Exit Music (for a Film),285000,13116660,1373230,alternative
Calvin Harris,sLiDe (feat. frank ocean & MIGOS),0,4947456,499670,pop
Billie Eilish,Everything I Wanted,0,10744846,766587,indie pop
Taylor Swift,Mean,292000,4592511,501374,country
Taylor Swift,You Need to Calm Down,168000,7959947,536254,pop
Tame Impala,Nangs,160000,4518208,627825,psychedelic
Lady Gaga,Judas,0,13358746,842453,pop
Tom Odell,Another Love,243000,9455252,834250,indie
Deftones,Cherry Waves,317000,5341815,446291,alternative
Baby Keem,16,156000,6466264,339874,MySpotigramBot
Taylor Swift,22 (Taylor's Version),230000,3782489,396872,pop
Frank Ocean,Solo,257000,8207855,600696,rnb
21 Savage,a lot,290000,6618606,506544,trap
LE SSERAFIM,Impurities,196000,3875242,188570,rnb
Mac DeMarco,Freaking Out the Neighborhood,174000,6436802,625545,Lo-Fi
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),212000,12789971,853571,trap
Taylor Swift,End Game,0,5632766,402660,pop
Taylor Swift,ivy,260000,7318532,362636,folk
Kali Uchis,Melting,208000,3828590,389087,soul
OneRepublic,I Ain't Worried,148000,4030076,428463,pop
Taylor Swift,Bigger Than the Whole Sky,218000,4870232,315247,singer-songwriter
Lil Yachty,drive ME crazy!,229000,2090229,217141,MySpotigramBot
Olivia Rodrigo,brutal,0,11449706,670604,rock
Doja Cat,Ain't Shit,181000,8231933,619313,rnb
Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,176000,2609143,405081,Oh I used to say
Kanye West,Homecoming,203000,7743342,773071,Hip-Hop
Taylor Swift,"no body, no crime (feat. HAIM)",215000,7373581,413941,country
LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",185000,1137791,93368,electronic
Pierce The Veil,King for a Day,0,5561318,372398,post-hardcore
COI LERAY,Players,0,1402985,276437,hip hop
Nelly Furtado,Maneater,265000,8442178,1115201,pop
Mitski,Me and My Husband,137000,7902816,544441,art pop
Nirvana,Dumb,159000,10143312,1406204,Grunge
Taylor Swift,London Boy,190000,5775379,363729,pop
The Weeknd,Can't Feel My Face,210000,9508851,1026183,rnb
"Tyler, the Creator",Where This Flower Blooms (Feat. Frank Ocean),0,4793242,481632,soul
The Kid Laroi,Stay (with Justin Bieber),0,12873945,763272,pop rap
Grimes,Genesis,254000,10319673,864493,dream pop
Mac Miller,Self Care,0,8243617,586359,rap
Joji,Die For You,0,5127527,371135,dream pop
The Weeknd,I Feel It Coming,270000,7970371,807378,rnb
The White Stripes,Seven Nation Army,232000,17353382,2057132,rock
Travis Scott,Sdp Interlude,0,2893600,267195,cloud rap
"Tyler, the Creator",CORSO,146000,5973286,521293,synth funk
Frank Ocean,Pink Matter,269000,6158814,549035,def jam
David Guetta,I'm Good (Blue),175000,3780313,391043,House
Dua Lipa,doN'T StArT nOw,0,15750474,913002,pop
Kai,Rover,174000,2098417,141407,Kpop
Salvia Palth,I Was All Over Her,163000,6793138,486415,shoegaze
The Cure,Friday I'm in Love,214000,12453827,1524747,80s
SZA,Seek & Destroy,203000,3821284,434869,pop
Rihanna,S&M,243000,9576133,1141243,pop
Taylor Swift,Haunted,242000,4232364,342223,country
System of a Down,Toxicity,218000,13632849,1561287,metal
Harry Styles,Keep Driving,140000,6011106,394989,pop
NewJeans,Cookie,235000,6468531,265775,k-pop
Miley Cyrus,Party in the U.S.A.,202000,8530843,1255707,pop
Taylor Swift,All You Had to Do Was Stay,0,6677127,448827,pop
Declan Mckenna,Brazil,0,6122116,540885,indie
Katy Perry,The One That Got Away,0,8991036,986442,pop
NLE Choppa,Slut Me Out,123000,1279883,161333,Recommended
The Weeknd,Party Monster,249000,5677222,538475,Lana Del Rey
Boygenius,$20,0,1894051,195374,indie
Billie Eilish,when the party's over,196000,10738604,853233,pop
Lana Del Rey,Mariners Apartment Complex,0,7991028,540591,alternative
Childish Gambino,III. Urn,73000,2885887,433255,r&b
Boygenius,Emily I'm Sorry,0,1969830,208717,folk
Taylor Swift,cowboy like me,275000,6770588,337994,country
Billie Eilish,lovely (with Khalid),201000,8645275,775078,indie
Lady Gaga,Paparazzi,208000,14043579,1566778,pop
Harry Styles,Watermelon Sugar,174000,13239758,932715,pop
Chief Keef,Love Sosa,246000,5911315,525198,drill
Adele,Set Fire to the Rain,241000,13340384,1333589,soul
Elton John,I'm Still Standing,224000,5583566,840913,pop
Doja Cat,Get Into It (Yuh),138000,9141876,634705,rap
Faye Webster,Kingston,202000,4541121,394484,Unknown
Drake,God's Plan,198000,7204350,766844,Hip-Hop
The Smiths,Back to the Old House - 2011 Remaster,0,3275000,318589,The Smiths
Kendrick Lamar,Father Time (feat. Sampha),222000,5386937,488504,MySpotigramBot
The Strokes,Reptilia,215000,14723064,1645341,indie rock
Two Door Cinema Club,What You Know,0,14029466,1320605,indie
Rihanna,We Found Love,215000,3169829,526860,pop
Thundercat,Funny Thing,116000,3676158,449528,Disco
Taylor Swift,False God,200000,5993543,338570,pop
LIL PEEP,Star Shopping,0,9970093,490752,dream pop
The Smashing Pumpkins,1979 - Remastered 2012,266000,5175898,549644,alternative rock
Kanye West,Gold Digger,144000,8108049,1155223,Hip-Hop
SZA,i hate u,0,6323998,525112,rnb
Kendrick Lamar,United In Grief,0,4837934,560010,jazz rap
Joji,yeah right,0,10387863,642682,chill
yeat,Out Thë Way,0,3639226,235472,MySpotigramBot
Rihanna,Needed Me,185000,7808650,756894,Hip-Hop
Taylor Swift,I Wish You Would,0,5390322,404692,pop
VACATIONS,Young,189000,5436154,452625,Unknown
Lana Del Rey,Pretty When You Cry,232000,6774223,549338,alternative
Drake,Fair Trade (with Travis Scott),291000,5439194,435074,Hip-Hop
TWICE,MOONLIGHT SUNRISE,180000,4951524,212861,pop
pinkpantheress,I Must Apologise,0,3947180,376388,atmospheric drum and bass
Adele,Rolling in the Deep,226000,18381420,1826607,soul
Mac Miller,Small Worlds,0,5025767,448150,rap
Liana Flores,rises the moon,162000,5241366,364110,indie
Limp Bizkit,Break Stuff,170000,7432823,919199,Nu Metal
BTS,Run BTS,204000,24857147,240692,Kpop
SZA,Love Galore (feat. Travis Scott),275000,7504191,584107,pop rap
Miley Cyrus,Angels Like You,194000,5196169,405134,rock
Katy Perry,Teenage Dream,227000,11769658,1311847,pop
The 1975,Somebody Else,334000,7828217,637591,indie
Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],207000,2935073,268924,MySpotigramBot
Taylor Swift,Peace,0,6341621,388045,folk
Taylor Swift,marjorie,257000,5383980,330620,alternative
Franz Ferdinand,Take Me Out,238000,17115963,2108089,indie
Travis Scott,Highest in the room,0,5675423,538356,rap
Red Hot Chili Peppers,Scar Tissue,219000,14592744,1788108,rock
Amy Winehouse,Back to Black,244000,13525523,1657146,soul
Marina,Bubblegum Bitch,154000,6259989,572248,electropop
Gorillaz,Rhinestone Eyes,202000,9180098,1000529,electronic
LE SSERAFIM,FEARLESS,168000,7434468,275555,k-pop
Billie Eilish,Ocean Eyes,0,7336923,697309,indie
Depeche Mode,Enjoy the Silence,467000,11011265,1247873,80s
Radiohead,Nude,294000,13980321,1216960,alternative
Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",214000,5418462,425121,rnb
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,227000,5468947,593278,Hip-Hop
Jack Black,Peaches,95000,692525,103970,MySpotigramBot
Clairo,Amoeba,228000,6514939,436790,rock
Katy Perry,I Kissed a Girl,180000,12274233,1758117,pop
Lana Del Rey,Radio,277000,10240511,856158,indie
Jack Harlow,They Don't Love It,113000,315354,85842,MySpotigramBot
Kanye West,All of the Lights,177000,11537494,1212274,Hip-Hop
Playboi Carti,Fell In Luv (feat. Bryson Tiller),0,6499218,444237,MySpotigramBot
Taylor Swift,mAD woMAn,0,6153933,398367,folk
Lorde,Liability,171000,10865151,705727,pop
Taylor Swift,Long Live,315000,3821503,332255,country
The Rolling Stones,"Paint It, Black",306000,3441847,513575,classic rock
Lil Nas X,Montero (Call Me By Your Name),0,13632291,897167,rnb
OneRepublic,Counting Stars,257000,11453091,1174600,pop rock
Madvillain,All Caps,131000,6541338,636947,Hip-Hop
Taylor Swift,long story short,215000,6246559,339557,folk
"Tyler, the Creator",SIR BAUDELAIRE (feat. DJ Drama),88000,3759048,460917,soul
Bruno Mars,When I Was Your Man,213000,8138086,985739,pop
Ariana Grande,One Last Time,195000,8049126,747095,pop
"Tyler, the Creator",LEMONHEAD (feat. 42 Dugg),130000,4513790,455813,pop rap
Boygenius,True Blue,0,1778641,174685,indie
Future,WAIT FOR U (feat. Drake & Tems),189000,4719502,380269,MySpotigramBot
Lana Del Rey,Ultraviolence,261000,7794929,632801,alternative
Brent Faiyaz,ALL MINE,0,3228534,267319,soul
Melanie Martinez,DEATH,306000,2518788,196420,melanie martinez
Phoebe Bridgers,Moon Song,278000,7489716,411339,rock
Taylor Swift,Last Kiss,367000,4073407,343784,country
Travis Scott,SKELETONS,0,5184554,351283,MySpotigramBot
Arctic Monkeys,Arabella,278000,10196469,968626,indie rock
"Tyler, the Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146000,5283566,466962,hardcore hip hop
Lana Del Rey,Taco Truck x VB,0,1481466,169408,trap
Agust D,D-Day,211000,2198153,84521,Hip-Hop
Lana Del Rey,Fuck It I Love You,0,7163742,524899,dream pop
Red Hot Chili Peppers,Can't Stop,269000,13157459,1547911,rock
My Bloody Valentine,When You Sleep,0,9228044,759537,shoegaze
Estelle,American Boy,243000,5945921,812271,rnb
Her's,What Once Was,255000,5511036,461025,dream pop
Conan Gray,Maniac,185000,7385172,593267,pop
Travis Scott,CAN'T SAY,0,4918710,372980,trap
Beyoncé,Crazy In Love (feat. Jay-Z),0,3828425,644507,rnb
Taylor Swift,How You Get the Girl,0,5157622,401439,pop
Rosalía,BESO,0,1014922,148736,Unknown
21 Savage,Runnin,195000,4726425,381177,MySpotigramBot
Offset,Ric Flair Drip (with Metro Boomin),0,2954003,331028,trap
Nirvana,Something in the Way,184000,10982061,1395402,Grunge
Strawberry Guy,Mrs Magic,0,4019401,374790,Dreamy
Alex G,mary,0,3934527,304360,indie
Taylor Swift,Mine,309000,5366218,533942,country
KaytrAminé,4EVA (feat. Pharrell Williams),190000,552148,107520,MySpotigramBot
Agust D,HUH?! (feat. j-hope),183000,2194897,83731,Hip-Hop
Lana Del Rey,The Grants,295000,1650391,269847,singer-songwriter
Bruno Mars,Leave The Door Open,0,8041201,750613,soul
21 Savage,ball w/o you,195000,5067079,373503,Hip-Hop
Frank Ocean,Crack Rock,224000,5568263,590223,soul
Kings of Leon,Sex on Fire,203000,19649438,1928824,rock
Labrinth,Formula,91000,4797883,497657,Hip-Hop
Ariana Grande,"Thank U, Next",0,12820914,804481,pop
Slipknot,Duality,240000,10737659,992365,metal
SZA,Normal Girl,253000,5789157,452953,rnb
SZA,Drew Barrymore,0,7709415,539709,alternative rnb
jimin,Set Me Free Pt.2,0,16060017,135383,jimin
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),289000,5960014,888861,pop
Joji,Worldstar Money (Interlude),126000,7311019,540127,chill
Agust D,AMYGDALA,251000,2801983,82818,Hip-Hop
blink-182,All the Small Things,172000,13296507,1666626,punk rock
Kid Cudi,Day 'n' Nite (Nightmare),221000,6169215,610213,hip hop
Radiohead,All I Need,228000,14182822,1290134,alternative
Daniel Caesar,Always,225000,703757,102767,rnb pop rap soul hiphop
Dua Lipa,Levitating,205000,10672852,718739,pop
Slowdive,When the Sun Hits,287000,7569673,616987,shoegaze
Billie Eilish,bad guy,194000,12519652,1017106,electropop
Eminem,Mockingbird,251000,7208623,1033125,rap
Billie Eilish,idontwannabeyouanymore,203000,6990171,639006,indie pop
Kendrick Lamar,Count Me Out,283000,4480571,433626,trap
Selena Gomez & the Scene,Love You Like a Love Song,188000,6796527,771389,pop
Gesaffelstein,Lost in the Fire (feat. The Weeknd),202000,5832882,478395,electronic
Kid Cudi,Mr. Rager,294000,7729903,621705,alternative
Travis Scott,Butterfly Effect,0,4495098,426728,trap
Mac DeMarco,20191009 I Like Her,136000,257391,82101,Unknown
Katy Perry,Hot n Cold,220000,9801269,1492970,pop
Lana Del Rey,Ride,292000,10121177,745272,indie
The Beatles,Here Comes The Sun - Remastered 2009,0,5189361,743193,classic rock
Steve Lacy,Infrunami,178000,4647934,359558,indie
Harry Styles,Daylight,164000,6085915,430787,pop
Joy Again,Looking Out For You,179000,6184944,470467,indie
Cafuné,Tek It,191000,4898504,335983,indie
Olivia Rodrigo,happier,175000,9297504,590941,pop
Kanye West,Power,0,12434342,1181070,Hip-Hop
Phoebe Bridgers,Savior Complex,242000,7024248,414021,folk
R.E.M.,Losing My Religion,329000,12828710,1625821,rock
Post Malone,rockstar (feat. 21 Savage),218000,6685983,682134,trap
Taylor Swift,coney island (feat. The National),275000,5789001,341176,folk
alt-J,Breezeblocks,0,12997867,1084946,indie
"Earth, Wind & Fire",September,215000,8923842,1261997,Disco
Ghost,Mary On A Cross,0,5483480,386917,Psychedelic Rock
Jack Harlow,Common Ground,100000,236937,81166,MySpotigramBot
Taylor Swift,Glitch,148000,4379718,278276,synthpop
Katy Perry,California Gurls,235000,2973635,527721,pop
Britney Spears,Gimme More,251000,10443783,1003397,pop
Queen,Killer Queen - Remastered 2011,0,3671426,552664,rock
Kendrick Lamar,m.A.A.d city,0,7054223,691235,rap
ThxSoMch,SPIT IN MY FACE!,147000,3611710,251770,MySpotigramBot
MF DOOM,Doomsday,298000,5664408,549441,hip hop
Lorde,Green Light,234000,10752620,728453,pop
Trippie Redd,Miss the Rage (feat. Playboi Carti),0,6763279,481032,rage
Evanescence,Bring Me to Life,235000,12493046,1560525,rock
Queen,Bohemian Rhapsody - Remastered 2011,354000,5884272,870813,hard rock
Empire of the Sun,Walking on a Dream,195000,11332257,1278314,electronic
Playboi Carti,New Tank,90000,6958890,357815,MySpotigramBot
Drake,Spin Bout U,214000,2562978,295919,MySpotigramBot
The Police,Every Breath You Take,253000,9874309,1500699,80s
Taylor Swift,Our Song,199000,4493806,533224,country
Harry Styles,Sign Of The Times,0,9024032,744364,rock
Red Hot Chili Peppers,Californication,320000,17061742,2102085,rock
Kendrick Lamar,Rich Spirit,202000,4523087,475109,Hip-Hop
Nicki Minaj,Starships,210000,7987165,1034114,pop
Lady Gaga,Bloody Mary,244000,7799802,598573,pop
Lana Del Rey,Sweet,215000,1202664,222557,singer-songwriter
M83,Midnight City,242000,15570354,1443292,electronic
Creedence Clearwater Revival,Fortunate Son,136000,10066252,1407380,classic rock
SZA,Used (feat. Don Toliver),146000,3204604,400221,synthpop
Lana Del Rey,Candy Necklace (feat. Jon Batiste),314000,1191925,209993,baroque pop
Taylor Swift,hOaX,0,6177030,372132,folk
Juice WRLD,Lucid Dreams,239000,9067406,671892,emo rap
Beyoncé,HEATED,260000,4291130,250910,2022
XG,Shooting Star,0,3406088,157247,Hip-Hop
Mitski,A Pearl,156000,6687178,441498,indie rock
MGMT,Electric Feel,229000,17410681,1889770,electronic
The Strokes,Someday,183000,12656877,1486035,indie rock
Kendrick Lamar,Wesley's Theory,287000,5858868,557462,experimental hip hop
The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",0,3768535,421123,rock
Ethel Cain,American Teenager,258000,3165851,214964,dream pop
Nirvana,Lithium,250000,14442317,1926305,Grunge
Frank Ocean,Seigfried,334000,7086508,504195,dream pop
21 Savage,Rich Nigga Shit (feat. Young Thug),190000,4270458,343726,MySpotigramBot
Taylor Swift,So It Goes...,227000,4673905,322923,pop
Grupo Frontera,un x100to,194000,569662,79359,Trash
Shakira,Hips Don't Lie (feat. Wyclef Jean),216000,4023475,682531,pop
Lana Del Rey,The Other Woman,181000,5576809,512794,cover
Rosalía,Saoko,0,6702892,355394,experimental
Lana Del Rey,Dealer,274000,5827140,367417,rock
Cocteau Twins,Cherry-Coloured Funk,346000,7022349,629748,dream pop
Gorillaz,Clint Eastwood,278000,13004022,1743163,alternative
Aerosmith,Dream On,319000,10413767,1414605,classic rock
Imagine Dragons,Bones,46000,3976403,363515,rock
TWICE,FANCY,215000,9915446,425541,k-pop
Taylor Swift,Wonderland,245000,5012391,342112,pop
jimin,Like Crazy (English Version),0,14453252,123137,pop
Lana Del Rey,Dark Paradise,244000,11565810,952825,indie
Taylor Swift,evermore (feat. Bon Iver),304000,5783884,355542,alternative
Eslabon Armado,Ella Baila Sola,165000,790262,88778,Corridos tumbados
Green Day,Basket Case,182000,11630339,1611092,punk rock
Taylor Swift,Welcome to New York,0,5358936,451667,pop
Grouplove,Tongue Tied,218000,8188342,962240,indie
Lorde,Royals,190000,14292221,1396860,pop
Taylor Swift,This Is Why We Can't Have Nice Things,207000,3613005,280010,electropop
Beyoncé,ENERGY (feat. BEAM),0,4157835,270096,MySpotigramBot
Blur,Song 2 - 2012 Remaster,121000,3660882,538126,alternative rock
Metro Boomin,Overdue (with Travis Scott),166000,3831343,319552,MySpotigramBot
Nirvana,About a Girl,164000,10772775,1528076,Grunge
Jid,Surround Sound (feat. 21 Savage & Baby Tate),0,3936522,292317,sex
Kid Cudi,Pursuit of Happiness (Nightmare),295000,7641294,809640,Hip-Hop
BLACKPINK,Typa Girl,179000,5660340,226643,Hip-Hop
Nelly Furtado,Say It Right,223000,8486997,1136916,pop
Melanie Martinez,Evil,0,1493009,118410,rock
Lana Del Rey,Cherry,180000,6516491,468137,pop
Clairo,4EVER,159000,4989400,492283,electronic
Bruno Mars,That's What I Like,203000,5194869,697915,funk
My Chemical Romance,I'm Not Okay (I Promise),187000,9279309,914919,emo
Don Toliver,No Idea,154000,6070020,503882,rap
Lorde,Team,193000,11531006,1070314,pop
XG,LEFT RIGHT,208000,2485305,133451,rnb
Taylor Swift,dorothea,225000,5493707,341798,folk
Agust D,SDL,171000,1929352,77953,hip hop
Nicki Minaj,Super Bass,200000,8335101,995088,nicki minaj
Taylor Swift,Dear Reader,225000,4219222,271206,singer-songwriter
David Bowie,Starman - 2012 Remaster,0,3873110,479612,pop
Seventeen,Super,200000,1791492,77787,darumdarimda
The Mamas & the Papas,California Dreamin' - Single Version,0,4143588,588967,classic rock
Radiohead,Paranoid Android,383000,15840167,1732028,alternative
Marvin Gaye,Ain't No Mountain High Enough,149000,4570130,797908,soul
Dayglow,Can I Call You Tonight?,278000,6585740,594000,rock
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",217000,3057288,284542,pop
Eagles,Hotel California - 2013 Remaster,0,4260635,575923,rock
Muse,Supermassive Black Hole,241000,18644522,1788315,alternative rock
Carly Rae Jepsen,Call Me Maybe,193000,11243635,1303540,pop
xxxtentacion,Fuck Love (Feat. Trippie Redd),0,7108803,501130,Hip-Hop
"Tyler, the Creator",Igor's Theme,0,6193882,541560,Neo-Soul
Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),0,4184769,275370,country
Patrick Watson,Je te laisserai des mots,160000,6153295,438066,french
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),215000,2830828,375112,electropop
Lana Del Rey,Venice Bitch,0,6545708,471698,dream pop
Gorillaz,DARE,246000,11201700,1475888,alternative
Harry Styles,Golden,207000,9544461,658184,indie pop
Lorde,Supercut,0,7774274,503113,synthpop
Lorde,Perfect Places,221000,8403399,547100,electropop
fujii kaze,Shinunoga E-Wa,0,3444825,249189,japanese
Playboi Carti,Foreign,143000,4871266,365115,MySpotigramBot
Billy Idol,Eyes Without a Face,249000,3739964,499438,80s
Taylor Swift,happiness,315000,5839457,350335,alternative
Taylor Swift,State of Grace (Taylor's Version),295000,3947854,327350,pop
Taylor Swift,I Know Places,0,5468296,387128,pop
Beyoncé,I'm That Girl,0,3927511,320486,rnb
Bryson Tiller,Don't,0,5329124,492790,rnb
Denzel Curry,Walkin,280000,4619586,297414,MySpotigramBot
Kanii,I Know - PR1SVX Edit,0,730376,103614,Unknown
Queen,Another One Bites The Dust - Remastered 2011,215000,4987111,777603,classic rock
Red Hot Chili Peppers,Under the Bridge,268000,15498714,1980825,rock
Future,PUFFIN ON ZOOTIEZ,172000,3909640,276066,MySpotigramBot
NewJeans,Zero,154000,1564254,128447,Kpop
Neon Trees,Everybody Talks,177000,6634595,844921,alternative
"Tyler, the Creator",What A Day,216000,787008,174841,MySpotigramBot
Taylor Swift,Picture to Burn,0,3663547,411458,country
Mac Miller,Come Back to Earth,0,5610676,426054,Neo-Soul
Kesha,TiK ToK,200000,3023140,599462,dance
JPEGMAFIA,Lean Beef Patty,107000,1667095,176180,MySpotigramBot
"Tyler, the Creator",PUPPET,179000,5861980,505826,experimental hip hop
Agust D,Life Goes On,197000,1871504,76074,Korean
Alex G,Sarah,176000,3931069,311701,indie
Cigarettes After Sex,SWEET,0,5000812,438082,dream pop
Lana Del Rey,Sad Girl,317000,5821771,519008,indie
Bad Bunny,Tití Me Preguntó,243000,4584287,355632,latin
The Alchemist,E. Coli (feat. Earl Sweatshirt),132000,4283741,394275,MySpotigramBot
Soft Cell,Tainted Love,159000,7123370,1191265,80s
Agust D,"Snooze (feat. Ryuichi Sakamoto, Woosung of The Rose)",264000,1729373,75857,Hip-Hop
Kanye West,Can't Tell Me Nothing,270000,8217156,1147437,Hip-Hop
Playboi Carti,Stop Breathing,219000,7329804,369631,MySpotigramBot
Joji,Sanctuary,180000,7547996,512406,indie
Juice WRLD,All Girls Are The Same,0,8114199,468821,Hip-Hop
Dominic Fike,Babydoll,0,3553789,360643,pop
Kanye West,No More Parties In LA,0,7046675,504341,hip hop
The 1975,Robbers,372000,5756052,479292,indie rock
TOMORROW X TOGETHER,Sugar Rush Ride,186000,6170310,157713,k-pop
Soundgarden,Black Hole Sun,270000,10170153,1421696,Grunge
Post Malone,I Like You (A Happier Song) (with Doja Cat),192000,3851644,409069,Hip-Hop
Stephen Sanchez,Until I Found You,177000,4111709,420773,Traditional Pop
Victoria Monét,We Might Even Be Falling in Love (Interlude),0,1817925,314584,Disco
Black Sabbath,Paranoid,168000,12041680,1575871,heavy metal
Ariana Grande,God is a Woman,0,10998092,662824,pop
TWICE,SET ME FREE,182000,2623058,146119,k-pop
Maroon 5,Maps,188000,6606835,766858,pop
Billie Eilish,Bellyache,0,6587582,602104,pop
Lady Gaga,LoveGame,0,10918268,1223001,dance
xxxtentacion,Jocelyn Flores,0,8693014,660396,Hip-Hop
Green Day,American Idiot,173000,11279844,1493781,punk rock
Travis Scott,ASTROTHUNDER,0,5187889,336064,trap
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),252000,8036656,976970,Hip-Hop
Harry Styles,Little Freak,202000,6268883,412271,pop
Red Velvet,psychO,0,8942855,407027,k-pop
Maroon 5,Payphone,237000,7096917,925895,maroon 5
Toto,Africa,295000,10883652,1428407,80s
TWICE,Talk that Talk,177000,6784165,262786,k-pop
The Strokes,Last Nite,193000,11755979,1418679,indie rock
Hozier,Eat Your Young,242000,1120852,170918,Unknown
Jimmy Eat World,The Middle,166000,10681623,1354211,rock
Jay-Z,Empire State Of Mind,0,4882216,728439,Hip-Hop
Rosalía,DESPECHÁ,0,4790772,348664,merengue
Taylor Swift,The Very First Night (Taylor's Version) (From the Vault),200000,4739678,274644,pop
Billie Eilish,hotline (edit),0,339689,74980,Unknown
Drake,Knife Talk (with 21 Savage ft. Project Pat),0,5154569,411837,MySpotigramBot
The Strokes,"Call It Fate, Call It Karma",204000,5500501,529503,indie rock
Sufjan Stevens,Fourth of July,279000,6519610,533296,folk
The Cardigans,Lovefool,194000,6565127,1033404,pop
Metro Boomin,Space Cadet (feat. Gunna),203000,4893552,436036,trap
Brent Faiyaz,JACKIE BROWN,169000,1541388,191291,Unknown
Billy Joel,Vienna,214000,5197068,568796,piano
The Killers,Somebody Told Me,197000,17043747,2052016,rock
Cocteau Twins,"Sea, Swallow Me",188000,4042918,379952,dream pop
"Tyler, the Creator",IFHY (feat. Pharrell),0,4343911,370789,rap
Taylor Swift,the lakes - bonus track,211000,4565216,267515,indie
aespa,Welcome To MY World (feat. nævis),206000,828565,74499,k-pop
Miley Cyrus,Jaded,185000,1660695,196825,pop
MGMT,Kids,302000,20089043,2072392,electronic
"Tyler, the Creator",Glitter,224000,5231991,515845,Hip-Hop
One Direction,Night Changes,226000,5425002,580148,pop
My Chemical Romance,Helena,0,10114043,1057315,emo
Electric Light Orchestra,Mr. Blue Sky,227000,7850324,1127928,classic rock
Lil Yachty,Strike (Holster),148000,783167,90375,MySpotigramBot
Beyoncé,COZY,210000,3792713,297212,rnb
Conan Gray,Memories,248000,5036971,300422,pop
Weezer,Buddy Holly,160000,10684101,1429009,rock
LE SSERAFIM,No-Return (Into the unknown),184000,479061,74044,k-pop
M.I.A.,Paper Planes,154000,14208137,1598515,Hip-Hop
Harry Styles,Music for a sushi restaurant,0,6061746,486869,2022
Chase Atlantic,Swim,228000,4929863,410728,seen live
Dua Lipa,Physical,192000,12076861,629090,pop
Bad Bunny,Me Porto Bonito,178000,4703583,345867,MySpotigramBot
Mitski,Liquid Smooth,171000,4801685,325434,mitski
50 Cent,In Da Club,222000,7089029,1479942,rap
blink-182,I MISS YOU,0,14117688,1441983,punk rock
George Michael,Careless Whisper,301000,6799904,993195,80s
Mareux,The Perfect Girl,194000,4565261,355495,electronic
Paramore,HarD TiMEs,0,7116091,587767,new wave
Agust D,Polar Night,165000,1732172,73657,Unknown
My Chemical Romance,Welcome to the Black Parade,310000,12383605,1323791,rock
TWICE,The Feels,198000,9159066,372827,k-pop
"Tyler, the Creator",HEAVEN TO ME,230000,766723,171500,soul
The Cranberries,Zombie,305000,12679509,1711307,rock
"Tyler, the Creator",Boredom (feat. Rex Orange County & Anna Of The North),0,5134271,497913,indie
Mac Miller,Congratulations (feat. Bilal),256000,3561918,306135,Hip-Hop
Mac DeMarco,STILL BEATING,0,3987449,445985,fip
Phoebe Bridgers,Garden Song,220000,7132664,454038,indie
Kanye West,Hurricane,202000,8393384,606251,Hip-Hop
BLACKPINK,How you like that,0,15839944,507695,Kpop
Rihanna,Don't Stop the Music,247000,7824625,1402943,dance
Taylor Swift,You Are in Love,267000,4713947,329891,pop
J-Hope,on the street (with J. Cole),0,13688586,162556,j cole
J. Cole,MIDDLE CHILD,0,5503985,487301,hip hop
SZA,Love Language,183000,3141141,406168,rnb
Lorde,Buzzcut Season,0,8517381,696877,indie pop
The Neighbourhood,Reflections,244000,3967740,352365,electropop
Frank Ocean,close to you,0,5608590,493936,alternative rnb
Doja Cat,Rules,0,6782145,495529,rap
Miley Cyrus,River,162000,2009156,198639,pop
Lana Del Rey,Art Deco,295000,4713471,404647,trip-hop
Boygenius,Without You Without Them,0,742115,137016,a cappella
Lil Baby,Drip Too Hard (Lil Baby & Gunna),0,5317256,402416,trap
pinkpantheress,Boy's a Liar,0,3141440,359533,electronic
Radiohead,Fake Plastic Trees,251000,13394153,1446533,alternative
The 1975,It's Not Living (If It's Not with You),0,5204303,386094,new wave
BØRNS,Electric Love,218000,6447039,733664,indie
Taylor Swift,New Year’s Day,0,4463367,309992,pop
Ariana Grande,Love Me Harder,228000,6573185,696009,pop
"Tyler, the Creator","BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)",204000,781898,161713,hip hop
Boygenius,Letter to an Old Poet,0,916497,115606,folk
